Journee;Date de fin de la journee;Date de debut de la journee;Equipe a domicile;Equipe a l'exterieur;Buts domicile;Buts exterieur
31;2018-04-04;2018-03-14;Stade Rennais Football Club;AS Monaco;1;1
34;2018-04-22;2018-04-20;En Avant de Guingamp;AS Monaco;3;1
30;2018-03-18;2018-03-16;OGC Nice;Paris SG;1;2
27;2018-02-25;2018-02-23;Dijon Football Côte d'Or;Stade Malherbe Caen;2;0
27;2018-02-25;2018-02-23;FC Nantes;Amiens SC;0;1
22;2018-01-21;2018-01-19;Racing Club Strasbourg Alsace;Dijon Football Côte d'Or;3;2
18;2017-12-17;2017-12-15;Montpellier Heraut SC;Football Club de Metz;1;3
29;2018-03-11;2018-03-09;FC Girondins de Bordeaux;Angers SCO;0;0
23;2018-01-28;2018-01-26;LOSC;Racing Club Strasbourg Alsace;2;1
21;2018-01-17;2018-01-16;AS Monaco;OGC Nice;2;2
16;2017-12-03;2017-12-01;Esperance Sportive Troyes Aube Champagne;En Avant de Guingamp;0;1
16;2017-12-03;2017-12-01;Montpellier Heraut SC;Olympique de Marseille;1;1
10;2017-10-22;2017-10-20;Stade Rennais Football Club;LOSC;1;0
14;2017-11-26;2017-11-24;AS Monaco;Paris SG;1;2
2;2017-08-13;2017-08-11;Dijon Football Côte d'Or;AS Monaco;1;4
25;2018-02-11;2018-02-09;Toulouse Football Club;Paris SG;0;1
36;2018-05-06;2018-05-04;FC Nantes;Montpellier Heraut SC;0;2
36;2018-05-06;2018-05-04;Football Club de Metz;Angers SCO;1;2
36;2018-05-06;2018-05-04;Olympique de Marseille;OGC Nice;2;1
33;2018-04-25;2018-04-13;Montpellier Heraut SC;FC Girondins de Bordeaux;1;3
35;2018-04-29;2018-04-27;Angers SCO;Olympique de Marseille;1;1
3;2017-08-20;2017-08-18;Montpellier Heraut SC;Racing Club Strasbourg Alsace;1;1
3;2017-08-20;2017-08-18;OGC Nice;En Avant de Guingamp;2;0
3;2017-08-20;2017-08-18;LOSC;Stade Malherbe Caen;0;2
12;2017-11-05;2017-11-03;Stade Rennais Football Club;FC Girondins de Bordeaux;1;0
13;2017-11-19;2017-11-17;Toulouse Football Club;Football Club de Metz;0;0
8;2017-11-20;2017-09-29;Angers SCO;Olympique Lyonnais;3;3
19;2017-12-20;2017-12-20;LOSC;OGC Nice;1;1
22;2018-01-21;2018-01-19;Stade Malherbe Caen;Olympique de Marseille;0;2
22;2018-01-21;2018-01-19;Esperance Sportive Troyes Aube Champagne;LOSC;1;0
21;2018-01-17;2018-01-16;Olympique de Marseille;Racing Club Strasbourg Alsace;2;0
20;2018-01-14;2018-01-12;AS Saint-etienne;Toulouse Football Club;2;0
26;2018-02-18;2018-02-16;Paris SG;Racing Club Strasbourg Alsace;5;2
23;2018-01-28;2018-01-26;En Avant de Guingamp;FC Nantes;0;3
20;2018-01-14;2018-01-12;Stade Rennais Football Club;Olympique de Marseille;0;3
20;2018-01-14;2018-01-12;Olympique Lyonnais;Angers SCO;1;1
17;2017-12-10;2017-12-08;En Avant de Guingamp;Dijon Football Côte d'Or;4;0
28;2018-03-04;2018-03-02;AS Saint-etienne;Dijon Football Côte d'Or;2;2
19;2017-12-20;2017-12-20;Angers SCO;Dijon Football Côte d'Or;2;1
29;2018-03-11;2018-03-09;Paris SG;Football Club de Metz;5;0
22;2018-01-21;2018-01-19;Olympique Lyonnais;Paris SG;2;1
7;2017-09-24;2017-09-22;Stade Malherbe Caen;Amiens SC;1;0
8;2017-11-20;2017-09-29;Paris SG;FC Girondins de Bordeaux;6;2
8;2017-11-20;2017-09-29;Esperance Sportive Troyes Aube Champagne;AS Saint-etienne;2;1
5;2017-09-10;2017-09-08;OGC Nice;AS Monaco;4;0
5;2017-09-10;2017-09-08;Stade Malherbe Caen;Dijon Football Côte d'Or;2;1
10;2017-10-22;2017-10-20;Football Club de Metz;Dijon Football Côte d'Or;1;2
15;2017-11-29;2017-11-28;Amiens SC;Dijon Football Côte d'Or;2;1
9;2017-10-15;2017-10-13;Stade Malherbe Caen;Angers SCO;0;2
32;2018-04-08;2018-04-06;AS Monaco;FC Nantes;2;1
32;2018-04-08;2018-04-06;Amiens SC;Stade Malherbe Caen;3;0
38;2018-05-19;2018-05-19;AS Saint-etienne;LOSC;5;0
25;2018-02-11;2018-02-09;Racing Club Strasbourg Alsace;Esperance Sportive Troyes Aube Champagne;2;1
21;2018-01-17;2018-01-16;Angers SCO;Esperance Sportive Troyes Aube Champagne;3;1
15;2017-11-29;2017-11-28;En Avant de Guingamp;Montpellier Heraut SC;0;0
29;2018-03-11;2018-03-09;Racing Club Strasbourg Alsace;AS Monaco;1;3
20;2018-01-14;2018-01-12;Stade Malherbe Caen;LOSC;0;1
26;2018-02-18;2018-02-16;LOSC;Olympique Lyonnais;2;2
